1;|1020,223120133|1021,221920130|1021,221920130|1023,221420130|1023,221420130|1024,222020129|1025,222020129|1025,222020129|1026,221420130|1026,221420130|1030,222020129|1031,221920128|1031,222020127|1031,222020127|1031,222020127|1032,221420130|1034,221320130|1034,222020129|1034,222020129|1034,222020129|1037,222020129|1037,221420130|1038,222020129|1038,222020129|1041,222520129|1042,222020129|1044,222020129|1045,221420130|1045,221420130|1045,221420130|1046,221420130|1047,222020129|1047,222020129|1047,221420130|1047,221420130|1048,222020129|1048,220220139|1049,221920126|1052,221420130|1054,221420130|1058,221420130|1058,221420130|1061,222720140|1065,221420130|1065,221420130|1065,221420130|1070,222020129|1073,222020129|1074,221420130|1074,221420130|1074,221420130|1074,221420130|1074,221920128|1075,221520130|1078,221420130|1081,221420130|1081,222020127|1081,222020127|1082,222020129|1082,222020129|1082,222020129|1082,221420130|1082,221420130|1082,221420130|1082,221420130|1082,221420131|1085,221620129|1085,221520130|1086,222020129|1086,221420130|1086,221420130|1086,221420130|1086,221420130|1086,221420130|1087,222020129|1088,222020129|1088,222020129|1088,222020129|1088,222020129|1089,222020129|1089,222020129|1089,221420130|1089,221420130|1089,221620128|1089,221620128|1090,222020129|1090,221920127|1092,221920130|1093,221420130|1095,222020129|1097,222020127|1097,220720136|1099,221620133|1103,222020130|1112,221820129|1116,222220127|1118,221920127|
10;|1020,585121858|1020,585121858|1020,585121858|1020,585221857|1021,587521871|1021,584521859|1021,587521871|1022,585721859|1022,585721859|1022,585121857|1024,587521871|1024,585721859|1024,586921871|1024,587521871|1024,587421871|1024,587421871|1025,585721859|1025,585721859|1025,585721859|1026,585721859|1026,585221857|1026,585121857|1027,585721859|1027,585421858|1027,585521860|1027,585421859|1027,587421871|1028,585721855|1029,587521871|1029,587721874|1029,587721875|1029,587221880|1031,585721859|1032,585021856|1032,587421871|1032,587321871|1032,587521872|1033,587421871|1033,587521872|1033,585721856|1034,585721859|1034,585721859|1034,586421864|1034,587121871|1036,585221858|1036,587521871|1037,587521872|1038,586421864|1038,586421864|1038,585221858|1040,585221858|1041,585221858|1041,585221858|1044,587521875|1045,585221858|1045,586221860|1045,585221859|1045,585221858|1048,585221858|1049,585221858|1050,585221857|1053,573121845|1054,585121859|1057,585221857|1058,585721859|1060,585121858|1061,577121786|1074,585221858|1076,584821866|1076,585221858|1083,575221783|1083,575221783|1092,585121858|1093,577121786|1093,577121783|1101,585121858|
100;|1024,903022208|1028,904322213|1028,904322213|1029,903022208|1030,902622216|1034,903022208|1036,903022208|1036,904322213|1040,904322213|1043,903922228|1044,903322228|1046,903022208|1046,918622214|1046,911122223|1046,900922224|1053,903022208|1053,903022208|1054,906222224|1058,903022208|1058,903022208|1058,903022208|1062,920922198|1069,920022305|1069,920022305|1069,920022305|1071,904322213|1071,904322213|1074,905322222|1074,905322222|1074,905322222|1074,905322222|1074,903722222|1074,903722222|1074,903722222|1074,903722222|1074,904222209|1074,903522209|1074,903622208|1074,903722208|1074,904222209|1074,904322213|1074,903022208|1075,904322213|1075,904322213|1076,903022208|1076,903022208|1076,903022208|1076,903022208|1078,903022208|1078,904322213|1078,904322213|1078,904322213|1078,904322213|1079,904322213|1079,904322213|1079,904322213|1079,904322213|1083,903022208|1084,897122234|1084,895822241|1084,878622245|1084,877522245|1084,876822248|1084,876622250|1085,867822486|1085,867822486|1085,867822486|1085,867822486|1085,867822486|1085,867822486|1085,899522379|1085,903722238|1086,903722219|1086,903722212|1086,903722210|1086,903722210|1086,903522209|1086,902922208|1087,904322213|1088,904322213|1088,904322213|1089,908822222|1089,909022222|1089,914722215|1089,915122214|1089,920422185|1092,907622221|1094,904322213|1097,913022261|1102,903022208|1102,903022208|1103,903022208|1104,904322213|1117,920722295|1120,904322213|1120,904322213|1120,904322213|1120,904322213|1121,901522209|1121,901522209|
1000;|1074,678821359|
1001;|1074,575922726|1074,571022704|1082,571022705|1082,591222727|1085,577022744|1091,2965021998|1092,591222727|1092,571022704|1093,571022705|1093,561922619|1094,576622761|1096,570922699|1102,571322698|1110,591222727|1110,982922150|1111,1060222070|
1002;|1075,575621762|
1003;|1075,659723104|1079,1060222073|
1004;|1075,577122771|1076,576622761|
1005;|779,997720578|1075,996820593|
1006;|538,615021441|554,616121414|
