1;|3611,221420130|3700,221920127|3849,222020130|4133,221420130|4271,221520130|
10;|4072,587321862|4085,587321868|4117,587421873|4130,569521834|4220,587121872|4320,585221857|4462,585221857|4469,586021857|4678,585221857|
100;|4085,921522217|4087,921922215|4210,904222213|4212,904222213|4219,904322213|
101;|3836,963221636|4053,577522790|
102;|3909,576622761|4263,576422762|4268,578622768|4277,576622761|4289,578622761|4303,577722741|4316,577722741|4364,576622761|4366,576222760|4368,576622769|4493,576822771|4514,578522763|4572,577422850|
103;|4008,2531419924|4371,2529819922|4371,2529819922|4371,2529819922|
104;|3892,974821550|3892,976821562|3894,976121560|3894,1026021735|3894,1035021711|3894,1035021711|3894,1034921712|3895,1034921712|3901,1035021708|3999,933821040|3999,933921040|4013,934021040|4203,981921841|4237,997720725|4249,997320725|4252,997220725|4254,997720725|4259,997720716|4259,997420722|4260,998420719|4267,997720716|4268,997720724|4280,974821551|4289,988921650|4309,956221392|4318,956221392|4319,956221392|4324,974821558|4325,978021525|4326,974521560|4328,988721663|4330,973721557|4332,974721560|4334,974821558|4334,974521562|4337,973921559|4337,973921559|4343,974021559|4348,974021558|4352,974021558|4370,973921558|4389,974521561|4547,974721547|4693,991221669|
105;|3685,576021780|3689,575821775|3693,575821775|4198,1060022072|4343,1060122074|4391,648521608|4550,1060422069|
106;|4297,1060722080|4297,1061722084|4297,1061122081|4297,1061022088|4297,1061222085|4297,1061622084|4297,1062222084|4297,1061122086|4297,1061122086|4297,1061122085|4442,1061222084|4504,1061322084|
107;|4332,616221417|4333,615521418|4375,631121424|
108;|3530,577122760|3531,576822761|3689,576722762|3690,576722761|3725,576822762|3760,576822761|3764,576822761|4145,576822761|4261,576722761|4465,578122762|4480,576722761|4497,576822762|4497,576722762|4498,576922761|4498,576822761|4601,576622761|
109;|4000,932321614|4115,932321614|4115,932321614|4115,932321614|4115,932321614|4115,932321614|4115,932321614|4115,932321614|
11;|3810,1060122075|3837,1060822076|3842,1059922073|3851,1060422078|3991,1060722076|4005,1060122075|4020,1060322076|4020,1060322076|4027,1060022073|4083,1060822075|4130,1060222073|4169,1060022075|
110;|4041,679921366|4299,620821381|4299,619921380|4300,620821381|4301,619921380|4303,679221368|4592,577422745|4613,578022762|4685,578022762|
111;|3858,629021290|4236,624121340|4241,628321272|4247,628521276|4250,628421271|4253,628521283|4253,627521299|4255,628521283|4265,621621379|4265,621321379|4265,621321379|4270,628421271|4274,627321299|4280,628421282|4375,628421271|4434,628421271|4503,3250014220|4503,3250014220|4503,3249614218|4503,628421282|4503,628421271|4503,628421271|4503,626821313|4503,626821313|4509,3250014220|4524,3250014220|4527,3249614218|4606,3250014220|4621,3249614218|4621,3249614218|
112;|3377,1060222073|3416,1060122073|3445,1048621996|3452,1060022074|3615,1060122073|3827,1060422072|3865,1060122073|3898,1060122075|3927,998720578|3936,1060122072|3936,1060122072|3955,1060022073|3975,1060122073|3979,1060022073|4048,1060122074|4048,1060022072|4060,1060222073|4077,1060122073|4092,1060022072|4133,1060122072|4143,1060122072|4147,1060222073|4263,1060122073|4264,1060022073|4298,898720994|4298,899120992|4298,899320994|4298,898720995|4322,1060022072|4334,1060022072|4370,1060122072|4370,1060022071|4418,1060122076|4502,1060222072|4506,1060122073|4510,1060122073|4522,1060222073|4532,1060122073|4541,1060122072|4544,1099022129|4544,1060122073|4594,1059922074|4599,1064222548|4600,1064022552|4621,1060222073|4642,584922571|4643,573322555|4680,1060222072|
113;|3868,1088822237|3897,1089622239|3909,1029721891|3961,1087922249|4057,1088422236|4058,1088922237|4068,1089022237|4105,1089022237|4105,1088922239|4105,1088922237|4123,1088922237|4155,1089422235|4159,1088822237|4196,1089422236|4210,1089422235|4210,1089022237|4330,1088922237|4356,1089022238|4431,1089022237|4431,1089422235|4433,1088922237|4443,1089022238|4638,1089422237|4645,1089022238|4645,1089022237|4646,1089122238|
114;|3752,577222764|3753,579022767|3865,576822761|3865,576822762|4017,576422762|4056,576522765|4061,576722759|4238,576822762|4238,576922762|4241,577122772|4377,577022762|4481,573722756|4483,577022772|
115;|3549,578421745|3652,578421745|3773,579321736|3800,577721749|3815,578621746|3815,578621746|3815,578621746|3832,576121778|3873,627521280|4103,576621758|4168,1029521890|4168,578521740|4185,1029521890|4208,579321743|4280,576021778|4671,577321751|
116;|3792,1916422809|3837,1797923156|3849,1797923156|4194,1891822877|4229,1925922813|4254,2081521626|4311,1915322814|4381,899621047|4481,2136421490|
117;|3815,569122406|4194,568122521|4229,576722762|4263,576722760|4296,576722760|4299,576622761|4306,576322764|4313,577721749|4314,576622761|4345,576622761|4468,577022745|4474,575521777|4557,576121778|
118;|4105,579421741|4209,1060122073|4432,967921537|4531,1060222074|4553,1060022073|4553,1059922074|4554,1060122073|4556,1060122072|4556,1060022072|4556,1060122073|4558,1060122074|4558,579121742|4558,1060122073|4558,1060122073|4558,969121556|4558,1060222077|4558,1060022071|4558,1060022070|4561,1029821890|4561,1060422080|4561,1029821890|
119;|4154,1060122073|4178,1060022072|4233,1060022073|4251,1074622130|4251,1074622130|4251,1074922127|4269,1060022073|
12;|3713,615321400|3723,615321401|
120;|4137,868022488|4195,822621029|4214,1030021890|4390,616121402|
121;|4077,1013021582|4406,1012121572|
122;|3766,1005722365|3767,1005522364|3767,1005522364|3768,1005622364|3772,1005622364|4374,1005522364|4374,1005722365|4543,1005822364|
1229;|3352,1029821892|3352,750221973|3352,750221969|3359,822621026|3360,822621026|3372,747521998|3898,747322002|4670,576821757|
123;|3707,1060022074|3707,1060422071|3707,1060222073|3713,1061422101|3715,1060022068|3800,1060122068|4099,1059922074|4103,1059922074|4238,1060022074|4245,1059922074|4261,1060022074|4277,1060022073|4357,1060022072|4357,1060222075|4361,1060022074|4385,1061222101|4409,731421921|4429,1060022074|4430,1059922074|4434,1060422071|4436,1060522073|4606,1060522073|4620,1060122072|
1230;|3355,576121778|3356,576021779|3356,576021779|3388,575321774|3398,575721775|3684,575721776|3720,575821776|3739,575421777|3786,840522126|3816,1060122075|3878,575721776|3898,575821780|3922,575821780|3926,591921873|4047,575821780|4067,575821780|4073,576021778|4106,575721779|4162,1060122076|4218,575821780|4238,575621780|4246,642322083|4265,1060622072|4310,1060522071|4319,1059922071|4347,1060022072|4362,1060522071|4389,1060522071|4404,1060522071|4411,1060522071|4462,1060522071|4482,1060522072|4503,1060522071|4505,1060522071|4518,1060522071|4523,1060522071|4558,1060522071|4587,1060622071|4590,1060522071|4602,1919523768|4614,983122150|4649,1060222068|4650,1060422071|4650,1060422071|4650,1060522071|4654,1044421991|4661,1060422072|
1231;|3356,575821780|3361,822621026|3402,575721779|3403,575821780|3411,579221742|3848,576021778|3887,575921777|4130,235620068|4337,575821780|4530,1060222074|4544,576021776|4557,1798423154|4640,575821777|
1232;|3359,1048621996|3359,1048221994|3359,1048321995|3702,1048621997|3702,1048621997|3702,1048621997|3709,1048221994|3765,1048421995|4070,1048621997|4094,615421399|4186,1048621997|4200,1054321928|4236,1054021931|4242,1048421995|4369,1060122073|4369,1060122072|4381,1067422114|4383,1048621995|4390,1048321995|4405,1048621997|4411,1047022010|4425,1048421994|4469,1048321995|4506,955921378|4572,1054121931|4589,1090822300|4630,1708621873|4656,1045022060|4677,1046222062|
1233;|3359,822621027|3396,571621841|3462,580521732|3468,580721725|3616,580921729|3643,580721725|3643,580721725|3653,602021950|3657,579221739|3670,584321703|3761,581021731|3795,580721726|3813,576021778|3900,580221732|3918,1811423204|3933,580921729|3964,580721725|4006,580521729|4035,579821732|4053,580921729|4056,579821732|4086,581121734|4099,580921698|4099,580921698|4118,580521732|4194,580721726|4264,579521737|4272,576021777|4277,581821687|4305,576121762|4330,648521608|4366,581021733|4386,582121679|4391,578621737|4401,581021743|4452,580921729|4454,822621027|4463,580821734|4486,576221762|4486,576221762|4497,581021733|4499,576121761|4540,576421840|4552,575121750|4567,576121762|4596,581221732|4626,576021778|4640,580921729|
1234;|3360,1060122076|3360,1060222076|3360,1060122076|3397,820520986|3478,576121778|3651,822521025|3651,822421024|3864,822421026|3928,822421024|3955,822821026|4083,822221025|4095,822521027|4124,622021366|4182,822021027|4233,822721027|4245,822521027|4245,822721026|4245,822521025|4245,822621026|4245,822421026|4245,822721027|4245,822321025|4245,822521027|4245,822521027|4245,822721026|4245,822421026|4245,822321025|4245,822321025|4245,822621027|4245,822521025|4267,822621026|4337,1060122073|4370,822521024|4385,822221024|4395,822521025|4450,822621027|4450,822621026|4450,822621026|4450,822721026|4450,822621027|4450,822721026|4450,822621026|4450,822321025|4450,822621027|4450,822621027|4450,822521027|4450,822521027|4450,822821026|4694,822621027|
1235;|3360,822621027|3364,822621027|3569,575721774|3851,576421840|3963,899320996|3987,577221780|4000,577321788|4018,821021031|
1236;|3361,1060122069|3815,991921214|3833,1060122069|3892,1798323150|4267,1060622084|4347,1060222077|4356,1060122069|4356,1060022069|4430,576121762|4446,1060122070|4473,1060122076|4485,613121404|4499,1060222076|4663,1059822070|4680,1060122070|
1237;|3362,822521024|3365,822421028|3483,1085022215|3492,1086022230|3512,1085722209|3665,1086022208|3672,1085022215|3727,822621027|3739,1800018000|3775,1084222210|3843,744822038|3934,938421976|3934,938421977|3963,815120942|3963,815120942|3998,573222551|4215,1085022216|4232,1085022215|4259,1085022215|4322,1033321918|4325,617421405|4476,899320995|4476,899320995|4650,1828322198|
1238;|3363,1060022074|4043,1060522074|4168,2147721207|4220,1060122075|4277,1060322080|4363,1060322079|4503,1060122075|4539,1060122075|4544,1060622085|
1239;|3364,575921780|3369,575521780|3522,574321858|3527,575921780|3536,575821780|3684,691722359|3913,575821780|3913,577321787|3921,575821780|4015,692422348|4230,1924722189|4230,1924822190|4231,1924722189|4232,1924822190|4243,575721779|4245,575821775|4347,575821780|4382,691822359|4544,575621780|
124;|4029,1892222545|4030,1892222546|4030,1892122545|4030,1892122545|4247,1892222546|4247,1892222545|4247,1891922546|4247,1892222545|4247,1892122546|4267,1892222545|4325,2114021011|
